#Object 1 Info:
#Object: Sun 1
#   Mass: 0.500000 Solar masses
#   Position: (2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.377427, 0.000000) AU/year

#Object 2 Info:
#Object: Sun 2
#   Mass: 0.500000 Solar masses
#   Position: (-2.600000, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.377427, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun 1_x,Sun 1_y,Sun 1_z,Sun 2_x,Sun 2_y,Sun 2_z
0.83,2.35257,1.10676,0,-2.35257,-1.10676,0
0.84,2.34667,1.11921,0,-2.34667,-1.11921,0
0.85,2.34071,1.13163,0,-2.34071,-1.13163,0
0.86,2.33468,1.14401,0,-2.33468,-1.14401,0
0.87,2.32858,1.15636,0,-2.32858,-1.15636,0
0.88,2.32242,1.16868,0,-2.32242,-1.16868,0
0.89,2.3162,1.18097,0,-2.3162,-1.18097,0
0.9,2.3099,1.19322,0,-2.3099,-1.19322,0
0.91,2.30355,1.20545,0,-2.30355,-1.20545,0
0.92,2.29713,1.21763,0,-2.29713,-1.21763,0
0.93,2.29064,1.22978,0,-2.29064,-1.22978,0
0.94,2.28409,1.2419,0,-2.28409,-1.2419,0
0.95,2.27748,1.25399,0,-2.27748,-1.25399,0
0.96,2.2708,1.26603,0,-2.2708,-1.26603,0
0.97,2.26406,1.27805,0,-2.26406,-1.27805,0
0.98,2.25725,1.29002,0,-2.25725,-1.29002,0
0.99,2.25038,1.30196,0,-2.25038,-1.30196,0
1,2.24345,1.31387,0,-2.24345,-1.31387,0
1.01,2.23646,1.32573,0,-2.23646,-1.32573,0
1.02,2.2294,1.33756,0,-2.2294,-1.33756,0
1.03,2.22228,1.34935,0,-2.22228,-1.34935,0
1.04,2.21509,1.36111,0,-2.21509,-1.36111,0
1.05,2.20785,1.37282,0,-2.20785,-1.37282,0
1.06,2.20054,1.3845,0,-2.20054,-1.3845,0
1.07,2.19317,1.39614,0,-2.19317,-1.39614,0
1.08,2.18574,1.40774,0,-2.18574,-1.40774,0
1.09,2.17825,1.4193,0,-2.17825,-1.4193,0
1.1,2.1707,1.43082,0,-2.1707,-1.43082,0
1.11,2.16309,1.4423,0,-2.16309,-1.4423,0
1.12,2.15541,1.45374,0,-2.15541,-1.45374,0
1.13,2.14768,1.46514,0,-2.14768,-1.46514,0
1.14,2.13988,1.47649,0,-2.13988,-1.47649,0
1.15,2.13202,1.48781,0,-2.13202,-1.48781,0
1.16,2.12411,1.49908,0,-2.12411,-1.49908,0
1.17,2.11613,1.51031,0,-2.11613,-1.51031,0
1.18,2.1081,1.5215,0,-2.1081,-1.5215,0
1.19,2.10001,1.53265,0,-2.10001,-1.53265,0
1.2,2.09185,1.54375,0,-2.09185,-1.54375,0
1.21,2.08364,1.55481,0,-2.08364,-1.55481,0
1.22,2.07537,1.56583,0,-2.07537,-1.56583,0
1.23,2.06704,1.5768,0,-2.06704,-1.5768,0
1.24,2.05866,1.58773,0,-2.05866,-1.58773,0
1.25,2.05021,1.59862,0,-2.05021,-1.59862,0
1.26,2.04171,1.60945,0,-2.04171,-1.60945,0
1.27,2.03315,1.62025,0,-2.03315,-1.62025,0
1.28,2.02454,1.631,0,-2.02454,-1.631,0
1.29,2.01586,1.6417,0,-2.01586,-1.6417,0
1.3,2.00713,1.65235,0,-2.00713,-1.65235,0
1.31,1.99835,1.66296,0,-1.99835,-1.66296,0
1.32,1.98951,1.67353,0,-1.98951,-1.67353,0
1.33,1.98061,1.68404,0,-1.98061,-1.68404,0
1.34,1.97165,1.69451,0,-1.97165,-1.69451,0
1.35,1.96264,1.70493,0,-1.96264,-1.70493,0
1.36,1.95358,1.71531,0,-1.95358,-1.71531,0
1.37,1.94446,1.72563,0,-1.94446,-1.72563,0
1.38,1.93529,1.73591,0,-1.93529,-1.73591,0
1.39,1.92606,1.74614,0,-1.92606,-1.74614,0
1.4,1.91678,1.75632,0,-1.91678,-1.75632,0
1.41,1.90744,1.76645,0,-1.90744,-1.76645,0
1.42,1.89805,1.77653,0,-1.89805,-1.77653,0
1.43,1.88861,1.78656,0,-1.88861,-1.78656,0
1.44,1.87911,1.79654,0,-1.87911,-1.79654,0
1.45,1.86957,1.80647,0,-1.86957,-1.80647,0
1.46,1.85997,1.81634,0,-1.85997,-1.81634,0
1.47,1.85031,1.82617,0,-1.85031,-1.82617,0
1.48,1.84061,1.83595,0,-1.84061,-1.83595,0
1.49,1.83085,1.84567,0,-1.83085,-1.84567,0
1.5,1.82104,1.85535,0,-1.82104,-1.85535,0
1.51,1.81118,1.86497,0,-1.81118,-1.86497,0
1.52,1.80127,1.87454,0,-1.80127,-1.87454,0
1.53,1.79131,1.88405,0,-1.79131,-1.88405,0
1.54,1.7813,1.89352,0,-1.7813,-1.89352,0
1.55,1.77124,1.90292,0,-1.77124,-1.90292,0
1.56,1.76113,1.91228,0,-1.76113,-1.91228,0
1.57,1.75097,1.92158,0,-1.75097,-1.92158,0
1.58,1.74076,1.93083,0,-1.74076,-1.93083,0
1.59,1.7305,1.94003,0,-1.7305,-1.94003,0
1.6,1.72019,1.94917,0,-1.72019,-1.94917,0
1.61,1.70984,1.95825,0,-1.70984,-1.95825,0
1.62,1.69943,1.96728,0,-1.69943,-1.96728,0
1.63,1.68898,1.97626,0,-1.68898,-1.97626,0
1.64,1.67848,1.98518,0,-1.67848,-1.98518,0
1.65,1.66794,1.99404,0,-1.66794,-1.99404,0
1.66,1.65734,2.00285,0,-1.65734,-2.00285,0
1.67,1.6467,2.0116,0,-1.6467,-2.0116,0
1.68,1.63602,2.02029,0,-1.63602,-2.02029,0
1.69,1.62529,2.02893,0,-1.62529,-2.02893,0
1.7,1.61451,2.03751,0,-1.61451,-2.03751,0
1.71,1.60369,2.04604,0,-1.60369,-2.04604,0
1.72,1.59282,2.0545,0,-1.59282,-2.0545,0
1.73,1.58191,2.06291,0,-1.58191,-2.06291,0
1.74,1.57095,2.07126,0,-1.57095,-2.07126,0
1.75,1.55995,2.07956,0,-1.55995,-2.07956,0
1.76,1.54891,2.08779,0,-1.54891,-2.08779,0
1.77,1.53782,2.09597,0,-1.53782,-2.09597,0
