#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (2.539586, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.345403, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (3.539586, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 7.628588, 0.000000) AU/year

#Object 3 Info:
#Object: Jupiter
#   Mass: 0.954588 Solar masses
#   Position: (-2.660411, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -1.409431, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 15.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Jupiter_x,Jupiter_y,Jupiter_z
0,2.53959,0,0,3.53959,0,0,-2.66041,0,0
0.01,2.53952,0.0134539,0,3.53756,0.0762443,0,-2.66034,-0.0140942,0
0.02,2.53931,0.0269071,0,3.5315,0.152239,0,-2.66012,-0.0281876,0
0.03,2.53896,0.0403588,0,3.52142,0.227737,0,-2.65975,-0.0422795,0
0.04,2.53847,0.0538083,0,3.50737,0.302491,0,-2.65924,-0.056369,0
0.05,2.53784,0.0672548,0,3.4894,0.376258,0,-2.65859,-0.0704554,0
0.06,2.53708,0.0806976,0,3.46758,0.4488,0,-2.65778,-0.084538,0
0.07,2.53617,0.094136,0,3.442,0.519883,0,-2.65683,-0.0986159,0
0.08,2.53513,0.107569,0,3.41274,0.589279,0,-2.65574,-0.112688,0
0.09,2.53394,0.120997,0,3.37994,0.656769,0,-2.6545,-0.126755,0
0.1,2.53262,0.134417,0,3.3437,0.722139,0,-2.65311,-0.140814,0
0.11,2.53115,0.147831,0,3.30418,0.785185,0,-2.65158,-0.154866,0
0.12,2.52955,0.161236,0,3.26152,0.845714,0,-2.6499,-0.168909,0
0.13,2.52781,0.174632,0,3.21589,0.90354,0,-2.64807,-0.182942,0
0.14,2.52592,0.188018,0,3.16746,0.958489,0,-2.6461,-0.196966,0
0.15,2.5239,0.201395,0,3.11641,1.0104,0,-2.64398,-0.210979,0
0.16,2.52174,0.21476,0,3.06293,1.05912,0,-2.64171,-0.22498,0
0.17,2.51944,0.228113,0,3.00722,1.10451,0,-2.6393,-0.238968,0
0.18,2.51699,0.241453,0,2.9495,1.14645,0,-2.63674,-0.252944,0
0.19,2.51441,0.25478,0,2.88998,1.18482,0,-2.63404,-0.266905,0
0.2,2.51169,0.268093,0,2.82887,1.21952,0,-2.63119,-0.280851,0
0.21,2.50883,0.281391,0,2.76642,1.25046,0,-2.62819,-0.294782,0
0.22,2.50583,0.294674,0,2.70283,1.27758,0,-2.62504,-0.308696,0
0.23,2.50268,0.307939,0,2.63836,1.30081,0,-2.62175,-0.322593,0
0.24,2.4994,0.321188,0,2.57324,1.32012,0,-2.61831,-0.336472,0
0.25,2.49598,0.334418,0,2.5077,1.33545,0,-2.61473,-0.350332,0
0.26,2.49241,0.34763,0,2.442,1.34681,0,-2.61099,-0.364172,0
0.27,2.48871,0.360822,0,2.37637,1.35419,0,-2.60711,-0.377992,0
0.28,2.48487,0.373994,0,2.31106,1.35759,0,-2.60308,-0.39179,0
0.29,2.48088,0.387144,0,2.2463,1.35706,0,-2.59891,-0.405566,0
0.3,2.47675,0.400273,0,2.18235,1.35262,0,-2.59459,-0.419319,0
0.31,2.47249,0.413379,0,2.11943,1.34433,0,-2.59011,-0.433048,0
0.32,2.46808,0.426461,0,2.05778,1.33227,0,-2.5855,-0.446753,0
0.33,2.46353,0.439519,0,1.99764,1.31652,0,-2.58073,-0.460432,0
0.34,2.45884,0.452552,0,1.93923,1.29718,0,-2.57582,-0.474085,0
0.35,2.454,0.465558,0,1.88278,1.27435,0,-2.57075,-0.48771,0
0.36,2.44903,0.478538,0,1.82849,1.24818,0,-2.56554,-0.501307,0
0.37,2.44391,0.49149,0,1.77658,1.2188,0,-2.56018,-0.514875,0
0.38,2.43866,0.504414,0,1.72726,1.18638,0,-2.55467,-0.528413,0
0.39,2.43326,0.517308,0,1.6807,1.15107,0,-2.54902,-0.541921,0
0.4,2.42772,0.530172,0,1.63709,1.11307,0,-2.54321,-0.555397,0
0.41,2.42203,0.543005,0,1.59661,1.07257,0,-2.53726,-0.56884,0
0.42,2.41621,0.555806,0,1.5594,1.02978,0,-2.53116,-0.58225,0
0.43,2.41024,0.568574,0,1.52562,0.984935,0,-2.5249,-0.595626,0
0.44,2.40413,0.581309,0,1.49538,0.938254,0,-2.5185,-0.608966,0
0.45,2.39787,0.594009,0,1.46881,0.889985,0,-2.51195,-0.62227,0
0.46,2.39147,0.606674,0,1.446,0.840382,0,-2.50525,-0.635537,0
0.47,2.38493,0.619302,0,1.42704,0.789707,0,-2.4984,-0.648766,0
0.48,2.37825,0.631893,0,1.41198,0.738227,0,-2.49139,-0.661956,0
0.49,2.37142,0.644446,0,1.40086,0.686216,0,-2.48424,-0.675106,0
0.5,2.36445,0.65696,0,1.39371,0.633951,0,-2.47694,-0.688216,0
0.51,2.35734,0.669435,0,1.39054,0.581713,0,-2.46949,-0.701283,0
0.52,2.35008,0.681868,0,1.39132,0.529782,0,-2.46188,-0.714307,0
0.53,2.34268,0.694259,0,1.39602,0.478436,0,-2.45413,-0.727288,0
0.54,2.33513,0.706608,0,1.40459,0.427952,0,-2.44622,-0.740224,0
0.55,2.32744,0.718913,0,1.41693,0.3786,0,-2.43816,-0.753114,0
0.56,2.3196,0.731173,0,1.43297,0.330646,0,-2.42995,-0.765957,0
0.57,2.31162,0.743387,0,1.45259,0.284345,0,-2.42159,-0.778753,0
0.58,2.30349,0.755555,0,1.47565,0.239944,0,-2.41308,-0.791499,0
0.59,2.29522,0.767675,0,1.50201,0.197677,0,-2.40442,-0.804196,0
0.6,2.2868,0.779746,0,1.5315,0.157767,0,-2.3956,-0.816841,0
0.61,2.27824,0.791768,0,1.56395,0.120423,0,-2.38663,-0.829435,0
0.62,2.26953,0.803739,0,1.59918,0.0858396,0,-2.3775,-0.841975,0
0.63,2.26068,0.815658,0,1.63698,0.0541956,0,-2.36823,-0.854461,0
0.64,2.25168,0.827525,0,1.67714,0.0256545,0,-2.3588,-0.866892,0
0.65,2.24253,0.839337,0,1.71945,0.000363706,0,-2.34921,-0.879266,0
0.66,2.23323,0.851095,0,1.76368,-0.0215459,0,-2.33948,-0.891583,0
0.67,2.22379,0.862796,0,1.80961,-0.0399596,0,-2.32959,-0.903841,0
0.68,2.2142,0.87444,0,1.857,-0.0547791,0,-2.31954,-0.916039,0
0.69,2.20446,0.886026,0,1.90562,-0.0659221,0,-2.30934,-0.928177,0
0.7,2.19458,0.897553,0,1.95523,-0.0733224,0,-2.29899,-0.940252,0
0.71,2.18455,0.909019,0,2.00558,-0.0769292,0,-2.28848,-0.952263,0
0.72,2.17436,0.920424,0,2.05645,-0.0767067,0,-2.27781,-0.96421,0
0.73,2.16404,0.931765,0,2.10758,-0.072634,0,-2.26699,-0.976091,0
0.74,2.15356,0.943043,0,2.15875,-0.0647047,0,-2.25601,-0.987905,0
0.75,2.14293,0.954255,0,2.20972,-0.0529262,0,-2.24488,-0.999651,0
0.76,2.13215,0.965401,0,2.26026,-0.0373191,0,-2.23359,-1.01133,0
0.77,2.12123,0.976479,0,2.31013,-0.0179176,0,-2.22215,-1.02293,0
0.78,2.11015,0.987488,0,2.35911,0.00523177,0,-2.21054,-1.03447,0
0.79,2.09893,0.998427,0,2.40698,0.03207,0,-2.19879,-1.04592,0
0.8,2.08755,1.00929,0,2.45352,0.0625261,0,-2.18687,-1.05731,0
0.81,2.07602,1.02009,0,2.49852,0.0965174,0,-2.17479,-1.06862,0
0.82,2.06435,1.03081,0,2.54177,0.13395,0,-2.16256,-1.07985,0
0.83,2.05252,1.04145,0,2.58306,0.174718,0,-2.15017,-1.091,0
0.84,2.04054,1.05202,0,2.62221,0.218707,0,-2.13762,-1.10207,0
0.85,2.02841,1.06251,0,2.65902,0.265788,0,-2.12491,-1.11306,0
0.86,2.01613,1.07292,0,2.69332,0.315826,0,-2.11205,-1.12397,0
0.87,2.00369,1.08325,0,2.72491,0.368673,0,-2.09902,-1.13479,0
0.88,1.9911,1.0935,0,2.75365,0.424171,0,-2.08583,-1.14552,0
0.89,1.97836,1.10366,0,2.77937,0.482154,0,-2.07249,-1.15617,0
0.9,1.96547,1.11374,0,2.80191,0.542446,0,-2.05898,-1.16673,0
0.91,1.95242,1.12373,0,2.82115,0.60486,0,-2.04531,-1.17719,0
0.92,1.93922,1.13364,0,2.83694,0.669204,0,-2.03149,-1.18757,0
0.93,1.92587,1.14345,0,2.84917,0.735273,0,-2.0175,-1.19785,0
0.94,1.91236,1.15317,0,2.85773,0.802859,0,-2.00335,-1.20803,0
0.95,1.8987,1.1628,0,2.86252,0.871742,0,-1.98904,-1.21812,0
0.96,1.88488,1.17233,0,2.86346,0.941697,0,-1.97456,-1.22811,0
0.97,1.87091,1.18177,0,2.86048,1.01249,0,-1.95993,-1.23799,0
0.98,1.85679,1.19111,0,2.85351,1.08389,0,-1.94513,-1.24778,0
0.99,1.8425,1.20035,0,2.84252,1.15566,0,-1.93017,-1.25746,0
1,1.82807,1.20949,0,2.82748,1.22754,0,-1.91504,-1.26703,0
1.01,1.81347,1.21852,0,2.80837,1.29928,0,-1.89975,-1.27649,0
1.02,1.79872,1.22745,0,2.78519,1.37065,0,-1.8843,-1.28585,0
1.03,1.78382,1.23628,0,2.75797,1.44137,0,-1.86869,-1.29509,0
1.04,1.76875,1.24499,0,2.72674,1.51122,0,-1.85291,-1.30422,0
1.05,1.75353,1.25359,0,2.69155,1.57992,0,-1.83696,-1.31324,0
1.06,1.73815,1.26208,0,2.65247,1.64724,0,-1.82085,-1.32213,0
1.07,1.72262,1.27046,0,2.60959,1.71293,0,-1.80458,-1.33091,0
1.08,1.70693,1.27872,0,2.563,1.77675,0,-1.78814,-1.33956,0
1.09,1.69107,1.28686,0,2.51283,1.83847,0,-1.77153,-1.34809,0
1.1,1.67506,1.29489,0,2.4592,1.89786,0,-1.75476,-1.35649,0
1.11,1.65889,1.30278,0,2.40227,1.95472,0,-1.73782,-1.36477,0
1.12,1.64257,1.31056,0,2.3422,2.00882,0,-1.72072,-1.37291,0
1.13,1.62608,1.31821,0,2.27917,2.05999,0,-1.70344,-1.38092,0
1.14,1.60943,1.32572,0,2.21336,2.10804,0,-1.68601,-1.3888,0
1.15,1.59263,1.33311,0,2.14498,2.15279,0,-1.6684,-1.39654,0
1.16,1.57566,1.34036,0,2.07424,2.1941,0,-1.65063,-1.40413,0
1.17,1.55854,1.34748,0,2.00136,2.23182,0,-1.63269,-1.41159,0
1.18,1.54125,1.35446,0,1.92658,2.26584,0,-1.61458,-1.4189,0
1.19,1.52381,1.36129,0,1.85012,2.29603,0,-1.5963,-1.42606,0
1.2,1.5062,1.36799,0,1.77224,2.32232,0,-1.57786,-1.43307,0
1.21,1.48843,1.37454,0,1.69318,2.34462,0,-1.55925,-1.43993,0
1.22,1.47051,1.38093,0,1.61319,2.36287,0,-1.54047,-1.44664,0
1.23,1.45242,1.38718,0,1.53252,2.37704,0,-1.52152,-1.45318,0
1.24,1.43417,1.39328,0,1.45144,2.3871,0,-1.5024,-1.45957,0
1.25,1.41575,1.39921,0,1.37019,2.39303,0,-1.48311,-1.46579,0
1.26,1.39718,1.40499,0,1.28902,2.39485,0,-1.46365,-1.47184,0
1.27,1.37845,1.41061,0,1.20819,2.39257,0,-1.44403,-1.47772,0
1.28,1.35955,1.41606,0,1.12794,2.38624,0,-1.42423,-1.48343,0
1.29,1.34049,1.42134,0,1.04852,2.3759,0,-1.40427,-1.48896,0
1.3,1.32128,1.42645,0,0.970154,2.36162,0,-1.38413,-1.49432,0
1.31,1.30189,1.43139,0,0.893087,2.34347,0,-1.36383,-1.49949,0
1.32,1.28235,1.43615,0,0.81754,2.32156,0,-1.34336,-1.50447,0
1.33,1.26265,1.44072,0,0.743732,2.29598,0,-1.32272,-1.50927,0
1.34,1.24278,1.44512,0,0.671875,2.26686,0,-1.30191,-1.51387,0
1.35,1.22276,1.44932,0,0.602172,2.23431,0,-1.28093,-1.51828,0
1.36,1.20257,1.45334,0,0.534817,2.19848,0,-1.25978,-1.52249,0
1.37,1.18222,1.45716,0,0.469999,2.15951,0,-1.23846,-1.52649,0
1.38,1.16171,1.46078,0,0.407894,2.11756,0,-1.21698,-1.53028,0
1.39,1.14104,1.4642,0,0.348671,2.0728,0,-1.19533,-1.53386,0
1.4,1.12021,1.46742,0,0.292487,2.02541,0,-1.1735,-1.53723,0
1.41,1.09922,1.47042,0,0.239492,1.97557,0,-1.15152,-1.54038,0
1.42,1.07807,1.47321,0,0.189823,1.92348,0,-1.12936,-1.5433,0
1.43,1.05676,1.47579,0,0.143608,1.86933,0,-1.10704,-1.546,0
1.44,1.03529,1.47814,0,0.100961,1.81333,0,-1.08455,-1.54846,0
1.45,1.01367,1.48027,0,0.0619873,1.75569,0,-1.06189,-1.55069,0
1.46,0.991883,1.48216,0,0.0267774,1.69665,0,-1.03907,-1.55268,0
1.47,0.969942,1.48382,0,-0.0045902,1.63643,0,-1.01608,-1.55442,0
1.48,0.947844,1.48524,0,-0.0320509,1.57525,0,-0.992935,-1.5559,0
1.49,0.92559,1.48642,0,-0.0555547,1.51337,0,-0.969622,-1.55714,0
1.5,0.903181,1.48735,0,-0.0750668,1.45102,0,-0.946147,-1.55811,0
