#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.026030, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (1.049166, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.309215, 0.000000) AU/year

#Object 3 Info:
#Object: Jupiter
#   Mass: 0.009546 Solar masses
#   Position: (-5.150831, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.728804, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Jupiter_x,Jupiter_y,Jupiter_z
0.54,0.0471535,0.013874,0,-0.91983,-0.237303,0,-4.93938,-1.45333,0
0.55,0.0470785,0.0141238,0,-0.9022,-0.297391,0,-4.93153,-1.47948,0
0.56,0.0470022,0.0143732,0,-0.880814,-0.356246,0,-4.92354,-1.50558,0
0.57,0.0469245,0.0146221,0,-0.855757,-0.413634,0,-4.91541,-1.53164,0
0.58,0.0468455,0.0148707,0,-0.82713,-0.469328,0,-4.90715,-1.55766,0
0.59,0.0467652,0.0151188,0,-0.795045,-0.523106,0,-4.89874,-1.58364,0
0.6,0.0466835,0.0153665,0,-0.75963,-0.574754,0,-4.89019,-1.60957,0
0.61,0.0466004,0.0156137,0,-0.721026,-0.624068,0,-4.88151,-1.63545,0
0.62,0.0465161,0.0158605,0,-0.679387,-0.67085,0,-4.87268,-1.66129,0
0.63,0.0464304,0.0161068,0,-0.634878,-0.714916,0,-4.86372,-1.68708,0
0.64,0.0463434,0.0163526,0,-0.587675,-0.756091,0,-4.85462,-1.71282,0
0.65,0.0462551,0.016598,0,-0.537966,-0.79421,0,-4.84538,-1.73851,0
0.66,0.0461654,0.0168429,0,-0.485948,-0.829122,0,-4.83601,-1.76416,0
0.67,0.0460744,0.0170873,0,-0.431828,-0.860689,0,-4.82649,-1.78975,0
0.68,0.0459821,0.0173312,0,-0.375819,-0.888785,0,-4.81684,-1.81529,0
0.69,0.0458885,0.0175747,0,-0.318145,-0.913299,0,-4.80706,-1.84079,0
0.7,0.0457936,0.0178176,0,-0.259033,-0.934133,0,-4.79713,-1.86623,0
0.71,0.0456974,0.01806,0,-0.198717,-0.951205,0,-4.78707,-1.89161,0
0.72,0.0455999,0.0183018,0,-0.137438,-0.964445,0,-4.77688,-1.91694,0
0.73,0.0455011,0.0185431,0,-0.0754364,-0.973803,0,-4.76655,-1.94222,0
0.74,0.045401,0.0187839,0,-0.0129587,-0.979239,0,-4.75608,-1.96745,0
0.75,0.0452996,0.0190242,0,0.0497479,-0.980732,0,-4.74548,-1.99261,0
0.76,0.0451969,0.0192639,0,0.112435,-0.978276,0,-4.73474,-2.01772,0
0.77,0.045093,0.019503,0,0.174856,-0.97188,0,-4.72387,-2.04278,0
0.78,0.0449877,0.0197416,0,0.236762,-0.961568,0,-4.71286,-2.06777,0
0.79,0.0448812,0.0199796,0,0.29791,-0.947381,0,-4.70172,-2.09271,0
0.8,0.0447734,0.020217,0,0.358057,-0.929375,0,-4.69045,-2.11758,0
0.81,0.0446643,0.0204538,0,0.416966,-0.907619,0,-4.67904,-2.1424,0
0.82,0.044554,0.0206901,0,0.474403,-0.882199,0,-4.6675,-2.16716,0
0.83,0.0444424,0.0209257,0,0.530142,-0.853215,0,-4.65583,-2.19185,0
0.84,0.0443296,0.0211607,0,0.583962,-0.820781,0,-4.64403,-2.21648,0
0.85,0.0442155,0.0213952,0,0.635651,-0.785023,0,-4.63209,-2.24105,0
0.86,0.0441001,0.021629,0,0.685005,-0.746083,0,-4.62002,-2.26556,0
0.87,0.0439835,0.0218622,0,0.731827,-0.704112,0,-4.60782,-2.29,0
0.88,0.0438657,0.0220947,0,0.775933,-0.659277,0,-4.59549,-2.31437,0
0.89,0.0437466,0.0223266,0,0.817149,-0.611753,0,-4.58303,-2.33868,0
0.9,0.0436263,0.0225579,0,0.855312,-0.561727,0,-4.57044,-2.36293,0
0.91,0.0435048,0.0227885,0,0.89027,-0.509395,0,-4.55772,-2.3871,0
0.92,0.043382,0.0230185,0,0.921885,-0.454964,0,-4.54487,-2.41121,0
0.93,0.043258,0.0232478,0,0.950033,-0.398646,0,-4.53189,-2.43525,0
0.94,0.0431328,0.0234764,0,0.9746,-0.340664,0,-4.51878,-2.45922,0
0.95,0.0430064,0.0237044,0,0.995491,-0.281245,0,-4.50554,-2.48312,0
0.96,0.0428787,0.0239317,0,1.01262,-0.220623,0,-4.49217,-2.50695,0
0.97,0.0427499,0.0241583,0,1.02592,-0.159036,0,-4.47868,-2.53071,0
0.98,0.0426198,0.0243842,0,1.03535,-0.0967272,0,-4.46506,-2.5544,0
0.99,0.0424886,0.0246095,0,1.04085,-0.0339403,0,-4.45131,-2.57801,0
1,0.0423561,0.024834,0,1.04241,0.0290772,0,-4.43744,-2.60155,0
1.01,0.0422225,0.0250578,0,1.04002,0.0920775,0,-4.42344,-2.62502,0
1.02,0.0420876,0.0252809,0,1.03369,0.154813,0,-4.40931,-2.64841,0
1.03,0.0419516,0.0255033,0,1.02345,0.217036,0,-4.39506,-2.67172,0
1.04,0.0418144,0.025725,0,1.00933,0.278503,0,-4.38068,-2.69496,0
1.05,0.041676,0.0259459,0,0.991396,0.338972,0,-4.36618,-2.71813,0
1.06,0.0415364,0.0261661,0,0.969707,0.398204,0,-4.35155,-2.74121,0
1.07,0.0413957,0.0263856,0,0.944353,0.455967,0,-4.3368,-2.76422,0
1.08,0.0412538,0.0266043,0,0.915432,0.512033,0,-4.32192,-2.78715,0
1.09,0.0411107,0.0268222,0,0.883059,0.566181,0,-4.30693,-2.81,0
1.1,0.0409665,0.0270394,0,0.847359,0.618199,0,-4.29181,-2.83277,0
1.11,0.0408211,0.0272559,0,0.808475,0.667882,0,-4.27656,-2.85546,0
1.12,0.0406746,0.0274715,0,0.766557,0.715034,0,-4.2612,-2.87807,0
1.13,0.0405269,0.0276864,0,0.721772,0.75947,0,-4.24571,-2.90059,0
1.14,0.0403781,0.0279006,0,0.674294,0.801014,0,-4.23011,-2.92304,0
1.15,0.0402281,0.0281139,0,0.624312,0.839504,0,-4.21438,-2.9454,0
1.16,0.040077,0.0283264,0,0.572021,0.874787,0,-4.19853,-2.96767,0
1.17,0.0399247,0.0285382,0,0.517627,0.906725,0,-4.18257,-2.98986,0
1.18,0.0397713,0.0287491,0,0.461346,0.935193,0,-4.16648,-3.01197,0
1.19,0.0396168,0.0289592,0,0.403397,0.960078,0,-4.15028,-3.03399,0
1.2,0.0394612,0.0291685,0,0.344011,0.981282,0,-4.13395,-3.05592,0
1.21,0.0393044,0.029377,0,0.28342,0.998724,0,-4.11751,-3.07777,0
1.22,0.0391465,0.0295847,0,0.221863,1.01233,0,-4.10095,-3.09953,0
1.23,0.0389876,0.0297915,0,0.159583,1.02206,0,-4.08428,-3.1212,0
1.24,0.0388274,0.0299975,0,0.0968258,1.02786,0,-4.06749,-3.14278,0
1.25,0.0386662,0.0302027,0,0.0338385,1.02971,0,-4.05058,-3.16427,0
1.26,0.0385039,0.030407,0,-0.0291304,1.02762,0,-4.03356,-3.18568,0
1.27,0.0383405,0.0306104,0,-0.0918328,1.02157,0,-4.01642,-3.20699,0
1.28,0.038176,0.030813,0,-0.154021,1.01161,0,-3.99916,-3.22821,0
1.29,0.0380104,0.0310147,0,-0.21545,0.997775,0,-3.9818,-3.24933,0
1.3,0.0378437,0.0312156,0,-0.275878,0.980112,0,-3.96432,-3.27037,0
1.31,0.0376759,0.0314156,0,-0.335066,0.958695,0,-3.94672,-3.29131,0
1.32,0.0375071,0.0316146,0,-0.39278,0.93361,0,-3.92902,-3.31216,0
