#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.004956, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.002608, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (1.004956, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.285794, 0.000000) AU/year

#Object 3 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (-5.195041, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.752226, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Jupiter_x,Jupiter_y,Jupiter_z
0,0.00495611,0,0,1.00496,0,0,-5.19504,0,0
0.01,0.00495604,2.60837e-05,0,1.00298,0.0628166,0,-5.19497,-0.0275221,0
0.02,0.00495585,5.21674e-05,0,0.997067,0.125385,0,-5.19475,-0.0550435,0
0.03,0.00495553,7.8251e-05,0,0.987235,0.187459,0,-5.19438,-0.0825633,0
0.04,0.00495509,0.000104335,0,0.973525,0.248793,0,-5.19387,-0.110081,0
0.05,0.00495451,0.000130418,0,0.955992,0.309146,0,-5.19322,-0.137595,0
0.06,0.00495381,0.000156502,0,0.934703,0.368278,0,-5.19241,-0.165106,0
0.07,0.00495298,0.000182586,0,0.909744,0.425957,0,-5.19146,-0.192612,0
0.08,0.00495202,0.000208669,0,0.881212,0.481955,0,-5.19037,-0.220112,0
0.09,0.00495093,0.000234752,0,0.84922,0.53605,0,-5.18913,-0.247606,0
0.1,0.00494971,0.000260835,0,0.813895,0.58803,0,-5.18774,-0.275094,0
0.11,0.00494837,0.000286918,0,0.775375,0.637689,0,-5.18621,-0.302573,0
0.12,0.00494689,0.000313,0,0.733813,0.684831,0,-5.18453,-0.330044,0
0.13,0.00494528,0.000339081,0,0.689372,0.72927,0,-5.18271,-0.357506,0
0.14,0.00494354,0.000365162,0,0.642228,0.770831,0,-5.18074,-0.384958,0
0.15,0.00494167,0.000391241,0,0.592568,0.809348,0,-5.17862,-0.412399,0
0.16,0.00493967,0.000417319,0,0.540586,0.84467,0,-5.17636,-0.439828,0
0.17,0.00493754,0.000443394,0,0.486489,0.876658,0,-5.17396,-0.467245,0
0.18,0.00493527,0.000469468,0,0.43049,0.905185,0,-5.17141,-0.494649,0
0.19,0.00493287,0.000495539,0,0.372809,0.930138,0,-5.16871,-0.522039,0
0.2,0.00493033,0.000521608,0,0.313675,0.951419,0,-5.16587,-0.549414,0
0.21,0.00492766,0.000547672,0,0.253322,0.968942,0,-5.16288,-0.576774,0
0.22,0.00492486,0.000573733,0,0.191986,0.98264,0,-5.15975,-0.604118,0
0.23,0.00492192,0.000599789,0,0.129912,0.992458,0,-5.15647,-0.631445,0
0.24,0.00491884,0.00062584,0,0.0673433,0.998356,0,-5.15305,-0.658754,0
0.25,0.00491562,0.000651886,0,0.00452798,1.00031,0,-5.14948,-0.686044,0
0.26,0.00491227,0.000677924,0,-0.0582859,0.998316,0,-5.14577,-0.713315,0
0.27,0.00490877,0.000703956,0,-0.12085,0.992378,0,-5.14191,-0.740566,0
0.28,0.00490514,0.000729979,0,-0.182917,0.982521,0,-5.13791,-0.767796,0
0.29,0.00490137,0.000755993,0,-0.244242,0.968783,0,-5.13377,-0.795005,0
0.3,0.00489745,0.000781998,0,-0.304583,0.951218,0,-5.12948,-0.822191,0
0.31,0.0048934,0.000807992,0,-0.3637,0.929896,0,-5.12504,-0.849355,0
0.32,0.0048892,0.000833974,0,-0.42136,0.904901,0,-5.12047,-0.876494,0
0.33,0.00488486,0.000859943,0,-0.477335,0.876332,0,-5.11575,-0.903609,0
0.34,0.00488038,0.000885898,0,-0.531403,0.844301,0,-5.11088,-0.930698,0
0.35,0.00487575,0.000911838,0,-0.583351,0.808935,0,-5.10587,-0.957761,0
0.36,0.00487098,0.000937763,0,-0.632974,0.770374,0,-5.10072,-0.984798,0
0.37,0.00486607,0.00096367,0,-0.680074,0.72877,0,-5.09542,-1.01181,0
0.38,0.00486101,0.000989558,0,-0.724465,0.684288,0,-5.08998,-1.03879,0
0.39,0.00485581,0.00101543,0,-0.765972,0.637103,0,-5.0844,-1.06574,0
0.4,0.00485046,0.00104127,0,-0.804431,0.587403,0,-5.07868,-1.09266,0
0.41,0.00484496,0.0010671,0,-0.839689,0.535383,0,-5.07281,-1.11955,0
0.42,0.00483932,0.0010929,0,-0.871607,0.48125,0,-5.0668,-1.14641,0
0.43,0.00483353,0.00111868,0,-0.900058,0.425217,0,-5.06064,-1.17323,0
0.44,0.0048276,0.00114443,0,-0.924929,0.367507,0,-5.05435,-1.20003,0
0.45,0.00482152,0.00117015,0,-0.946124,0.308348,0,-5.04791,-1.22679,0
0.46,0.00481529,0.00119584,0,-0.963556,0.247973,0,-5.04133,-1.25351,0
0.47,0.00480891,0.00122151,0,-0.977158,0.186622,0,-5.03461,-1.2802,0
0.48,0.00480239,0.00124714,0,-0.986876,0.124538,0,-5.02775,-1.30686,0
0.49,0.00479572,0.00127273,0,-0.99267,0.0619652,0,-5.02075,-1.33347,0
0.5,0.00478891,0.00129829,0,-0.994519,-0.000847248,0,-5.0136,-1.36005,0
0.51,0.00478195,0.00132382,0,-0.992415,-0.0636513,0,-5.00632,-1.3866,0
0.52,0.00477484,0.00134931,0,-0.986366,-0.126198,0,-4.99889,-1.4131,0
0.53,0.00476759,0.00137475,0,-0.976397,-0.188241,0,-4.99132,-1.43956,0
0.54,0.00476019,0.00140016,0,-0.962546,-0.249533,0,-4.98362,-1.46598,0
0.55,0.00475265,0.00142553,0,-0.944869,-0.309833,0,-4.97577,-1.49237,0
0.56,0.00474496,0.00145085,0,-0.923435,-0.368902,0,-4.96778,-1.51871,0
0.57,0.00473712,0.00147612,0,-0.89833,-0.426506,0,-4.95965,-1.545,0
