#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (-0.010078, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -0.003377, 0.000000) AU/year

#Object 2 Info:
#Object: Mercury
#   Mass: 0.000000 Solar masses
#   Position: (0.376922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 10.046623, 0.000000) AU/year

#Object 3 Info:
#Object: Venus
#   Mass: 0.000002 Solar masses
#   Position: (0.712922, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 7.376624, 0.000000) AU/year

#Object 4 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (0.989924, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.279642, 0.000000) AU/year

#Object 5 Info:
#Object: Mars
#   Mass: 0.000000 Solar masses
#   Position: (1.513927, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 5.076661, 0.000000) AU/year

#Object 6 Info:
#Object: Jupiter
#   Mass: 0.000955 Solar masses
#   Position: (5.192928, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.756663, 0.000000) AU/year

#Object 7 Info:
#Object: Saturn
#   Mass: 0.000286 Solar masses
#   Position: (9.531892, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 2.039296, 0.000000) AU/year

#Object 8 Info:
#Object: Uranus
#   Mass: 0.000044 Solar masses
#   Position: (19.188616, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.429879, 0.000000) AU/year

#Object 9 Info:
#Object: Neptune
#   Mass: 0.000051 Solar masses
#   Position: (30.068453, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 1.139941, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 30.000000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Mercury_x,Mercury_y,Mercury_z,Venus_x,Venus_y,Venus_z,Earth_x,Earth_y,Earth_z,Mars_x,Mars_y,Mars_z,Jupiter_x,Jupiter_y,Jupiter_z,Saturn_x,Saturn_y,Saturn_z,Uranus_x,Uranus_y,Uranus_z,Neptune_x,Neptune_y,Neptune_z
0.14,-0.01006,-0.000471081,0,-0.315897,-0.221245,0,0.0895822,0.713457,0,0.627216,0.769971,0,1.35034,0.68509,0,5.17865,0.385579,0,9.52762,0.285459,0,19.1876,0.200179,0,30.068,0.159591,0
0.15,-0.0100575,-0.000504503,0,-0.245834,-0.29643,0,0.0158438,0.719626,0,0.577558,0.808427,0,1.32664,0.73001,0,5.17654,0.413064,0,9.52699,0.305842,0,19.1874,0.214477,0,30.068,0.17099,0
0.16,-0.0100548,-0.00053789,0,-0.158588,-0.350048,0,-0.0581677,0.718197,0,0.52558,0.843688,0,1.30144,0.774113,0,5.17428,0.440538,0,9.52632,0.326224,0,19.1872,0.228775,0,30.0679,0.182389,0
0.17,-0.0100519,-0.000571239,0,-0.0606347,-0.378472,0,-0.131671,0.709176,0,0.471485,0.875613,0,1.27478,0.817351,0,5.17188,0.467999,0,9.5256,0.346605,0,19.1871,0.243073,0,30.0678,0.193789,0
0.18,-0.0100489,-0.000604551,0,0.0409216,-0.379979,0,-0.203888,0.692652,0,0.415489,0.904078,0,1.24669,0.859675,0,5.16933,0.495448,0,9.52484,0.366983,0,19.1869,0.25737,0,30.0677,0.205188,0
0.19,-0.0100458,-0.000637824,0,0.13889,-0.354783,0,-0.274053,0.66879,0,0.357812,0.928968,0,1.21719,0.901037,0,5.16664,0.522882,0,9.52403,0.387361,0,19.1867,0.271668,0,30.0677,0.216587,0
0.2,-0.0100425,-0.000671058,0,0.22649,-0.304931,0,-0.341422,0.637836,0,0.298681,0.950186,0,1.18632,0.941392,0,5.1638,0.550302,0,9.52318,0.407736,0,19.1865,0.285965,0,30.0676,0.227986,0
0.21,-0.010039,-0.000704252,0,0.297776,-0.234093,0,-0.405276,0.600111,0,0.238331,0.967647,0,1.15411,0.980693,0,5.16082,0.577706,0,9.52229,0.428109,0,19.1862,0.300262,0,30.0675,0.239385,0
0.22,-0.0100354,-0.000737405,0,0.347981,-0.147271,0,-0.464934,0.556009,0,0.176999,0.981281,0,1.1206,1.0189,0,5.15769,0.605094,0,9.52135,0.448481,0,19.186,0.314559,0,30.0674,0.250784,0
0.23,-0.0100317,-0.000770517,0,0.37377,-0.0504562,0,-0.51976,0.505993,0,0.114929,0.991035,0,1.08582,1.05596,0,5.15442,0.632465,0,9.52037,0.468851,0,19.1858,0.328856,0,30.0673,0.262183,0
