#Object 1 Info:
#Object: Sun
#   Mass: 1.000000 Solar masses
#   Position: (0.453126, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 0.240040, 0.000000) AU/year

#Object 2 Info:
#Object: Earth
#   Mass: 0.000003 Solar masses
#   Position: (1.453126, 0.000000, 0.000000) AU
#   Velocity: (0.000000, 6.523225, 0.000000) AU/year

#Object 3 Info:
#Object: Jupiter
#   Mass: 0.095459 Solar masses
#   Position: (-4.746871, 0.000000, 0.000000) AU
#   Velocity: (0.000000, -2.514795, 0.000000) AU/year

# Integration Parameters: 
#    Time Step: 0.010000 years
#    Total Time: 11.200000 years
#    Integrator: Verlet

Time,Sun_x,Sun_y,Sun_z,Earth_x,Earth_y,Earth_z,Jupiter_x,Jupiter_y,Jupiter_z
0,0.453126,0,0,1.45313,0,0,-4.74687,0,0
0.01,0.453119,0.00240038,0,1.45115,0.0651909,0,-4.7468,-0.0251478,0
0.02,0.453098,0.0048007,0,1.44522,0.130134,0,-4.74658,-0.0502949,0
0.03,0.453064,0.00720086,0,1.43536,0.194582,0,-4.74621,-0.0754404,0
0.04,0.453015,0.00960081,0,1.42162,0.258289,0,-4.7457,-0.100584,0
0.05,0.452952,0.0120005,0,1.40404,0.321014,0,-4.74505,-0.125724,0
0.06,0.452876,0.0143997,0,1.3827,0.382519,0,-4.74424,-0.15086,0
0.07,0.452785,0.0167986,0,1.35768,0.44257,0,-4.74329,-0.175991,0
0.08,0.452681,0.0191969,0,1.32907,0.500939,0,-4.7422,-0.201118,0
0.09,0.452562,0.0215947,0,1.297,0.557406,0,-4.74096,-0.226238,0
0.1,0.45243,0.0239918,0,1.26159,0.611756,0,-4.73957,-0.251351,0
0.11,0.452284,0.0263881,0,1.22297,0.663786,0,-4.73804,-0.276456,0
0.12,0.452124,0.0287837,0,1.1813,0.713298,0,-4.73636,-0.301553,0
0.13,0.45195,0.0311784,0,1.13674,0.760107,0,-4.73454,-0.32664,0
0.14,0.451762,0.0335721,0,1.08947,0.804038,0,-4.73257,-0.351718,0
0.15,0.45156,0.0359648,0,1.03967,0.844927,0,-4.73045,-0.376784,0
0.16,0.451345,0.0383564,0,0.987539,0.88262,0,-4.72819,-0.401839,0
0.17,0.451115,0.0407469,0,0.933283,0.91698,0,-4.72579,-0.426882,0
0.18,0.450872,0.0431361,0,0.877113,0.94788,0,-4.72323,-0.451911,0
0.19,0.450614,0.0455239,0,0.81925,0.975206,0,-4.72054,-0.476927,0
0.2,0.450343,0.0479104,0,0.759922,0.99886,0,-4.71769,-0.501928,0
0.21,0.450058,0.0502954,0,0.699359,1.01876,0,-4.7147,-0.526913,0
0.22,0.449759,0.0526789,0,0.637802,1.03483,0,-4.71157,-0.551882,0
0.23,0.449446,0.0550608,0,0.57549,1.04702,0,-4.70829,-0.576835,0
0.24,0.44912,0.057441,0,0.512669,1.05529,0,-4.70487,-0.601769,0
0.25,0.448779,0.0598194,0,0.449585,1.05962,0,-4.7013,-0.626685,0
0.26,0.448425,0.062196,0,0.386486,1.05999,0,-4.69759,-0.651581,0
0.27,0.448057,0.0645707,0,0.323619,1.05641,0,-4.69373,-0.676458,0
0.28,0.447675,0.0669434,0,0.261231,1.04891,0,-4.68972,-0.701313,0
0.29,0.447279,0.069314,0,0.199567,1.03753,0,-4.68558,-0.726147,0
0.3,0.446869,0.0716826,0,0.13887,1.02231,0,-4.68128,-0.750959,0
0.31,0.446446,0.0740489,0,0.0793778,1.00332,0,-4.67684,-0.775747,0
0.32,0.446009,0.0764129,0,0.021325,0.980651,0,-4.67226,-0.800511,0
0.33,0.445558,0.0787746,0,-0.0350601,0.954396,0,-4.66754,-0.825251,0
0.34,0.445093,0.0811339,0,-0.0895556,0.924667,0,-4.66267,-0.849965,0
0.35,0.444614,0.0834907,0,-0.141947,0.891588,0,-4.65765,-0.874653,0
0.36,0.444122,0.0858449,0,-0.192027,0.8553,0,-4.65249,-0.899314,0
